"RegioS","Perioden","MediaanPersoonlijkInkomen_7","GemiddeldPersoonlijkInkomen_6"
"GM1774","2015JJ00",6.7,10.9
"GM1774","2016JJ00",6.5,10.7
"GM1774","2017JJ00",7.3,11.5
"GM1774","2018JJ00",8,12.4
"GM1774","2019JJ00",8.3,13.1
"GM1774","2020JJ00",9.4,14.3
"GM1774","2021JJ00",10.3,15.1
"GM1774","2022JJ00",12.2,17.3
"GM1774","2023JJ00",14.4,18.9
"GM1774","2024JJ00",17.1,21.3
"GM0221","2011JJ00",5.9,10
"GM0221","2012JJ00",5.3,9.2
"GM0221","2013JJ00",4.9,8.4
"GM0221","2014JJ00",5.5,8.4
"GM0221","2015JJ00",5.9,9.4
"GM0221","2016JJ00",6,9.4
"GM0221","2017JJ00",6.7,10.3
"GM0221","2018JJ00",7,11.3
"GM0221","2019JJ00",7.9,12.1
"GM0221","2020JJ00",8.5,12.4
"GM0221","2021JJ00",9.3,13.7
"GM0221","2022JJ00",8.8,14
"GM0221","2023JJ00",10,15.6
"GM0221","2024JJ00",12.2,17.6
"GM0222","2011JJ00",6.9,10.9
"GM0222","2012JJ00",6.2,10.2
"GM0222","2013JJ00",5.9,10
"GM0222","2014JJ00",5.8,9.7
"GM0222","2015JJ00",6.1,10
"GM0222","2016JJ00",6.3,10.1
"GM0222","2017JJ00",6.4,10.6
"GM0222","2018JJ00",6.6,11.1
"GM0222","2019JJ00",7.6,11.9
"GM0222","2020JJ00",7.9,12.4
"GM0222","2021JJ00",8.5,13.3
"GM0222","2022JJ00",10,14.7
"GM0222","2023JJ00",11.7,16.7
"GM0222","2024JJ00",13.8,18.8
"GM0766","2011JJ00",8.2,12.2
"GM0766","2012JJ00",6.9,11.5
"GM0766","2013JJ00",7,11.5
"GM0766","2014JJ00",7.1,11.4
"GM0766","2015JJ00",6.7,11.6
"GM0766","2016JJ00",7,11.8
"GM0766","2017JJ00",7.1,11.9
"GM0766","2018JJ00",8.1,12.7
"GM0766","2019JJ00",8.5,13.4
"GM0766","2020JJ00",9.4,14.2
"GM0766","2021JJ00",10.2,15.3
"GM0766","2022JJ00",11.6,16.6
"GM0766","2023JJ00",13.2,18.4
"GM0766","2024JJ00",15.4,20.3
"GM0505","2011JJ00",7.8,11.9
"GM0505","2012JJ00",7.1,11.6
"GM0505","2013JJ00",6.8,11.2
"GM0505","2014JJ00",6.8,11
"GM0505","2015JJ00",7,11.1
"GM0505","2016JJ00",7.4,11.4
"GM0505","2017JJ00",7.8,11.9
"GM0505","2018JJ00",8.4,13
"GM0505","2019JJ00",8.8,13.4
"GM0505","2020JJ00",9.3,14.4
"GM0505","2021JJ00",10.4,15.3
"GM0505","2022JJ00",11.2,16.9
"GM0505","2023JJ00",12.6,18.5
"GM0505","2024JJ00",14.8,20.1
"GM0498","2011JJ00",8.9,13
"GM0498","2012JJ00",8.8,12.7
"GM0498","2013JJ00",8.7,12.9
"GM0498","2014JJ00",7.9,12.7
"GM0498","2015JJ00",8.1,12.9
"GM0498","2016JJ00",7.6,12.9
"GM0498","2017JJ00",8.6,13.3
"GM0498","2018JJ00",8.8,14.5
"GM0498","2019JJ00",8.4,14.5
"GM0498","2020JJ00",9.6,14.9
"GM0498","2021JJ00",10.3,15.6
"GM0498","2022JJ00",11.1,16.5
"GM0498","2023JJ00",13.6,18.9
"GM0498","2024JJ00",15.9,20.5
"GM1719","2011JJ00",8,13
"GM1719","2012JJ00",7.5,12.3
"GM1719","2013JJ00",7.5,12.2
"GM1719","2014JJ00",7.4,12.3
"GM1719","2015JJ00",8.4,12.7
"GM1719","2016JJ00",8.1,12.8
"GM1719","2017JJ00",8.5,13.1
"GM1719","2018JJ00",9.2,14.1
"GM1719","2019JJ00",10.3,15
"GM1719","2020JJ00",11.1,15.6
"GM1719","2021JJ00",11.7,16.3
"GM1719","2022JJ00",13.6,18.4
"GM1719","2023JJ00",14.3,19.6
"GM1719","2024JJ00",15.9,21
"GM0303","2011JJ00",7.8,11.6
"GM0303","2012JJ00",7.2,11.1
"GM0303","2013JJ00",6.5,10.3
"GM0303","2014JJ00",6.6,10.3
"GM0303","2015JJ00",6.5,10.2
"GM0303","2016JJ00",6.5,10.6
"GM0303","2017JJ00",6.5,10.9
"GM0303","2018JJ00",6.8,11.4
"GM0303","2019JJ00",6.9,12.1
"GM0303","2020JJ00",7.9,12.7
"GM0303","2021JJ00",8.5,13.8
"GM0303","2022JJ00",9.7,15.1
"GM0303","2023JJ00",11.2,16.9
"GM0303","2024JJ00",14.2,19.3
"GM0225","2011JJ00",7.3,11.7
"GM0225","2012JJ00",7.3,10.9
"GM0225","2013JJ00",6.7,10.8
"GM0225","2014JJ00",5.5,10.2
"GM0225","2015JJ00",6,10.9
"GM0225","2016JJ00",5.9,11.2
"GM0225","2017JJ00",5.7,11.2
"GM0225","2018JJ00",6.8,11.9
"GM0225","2019JJ00",7.2,12.6
"GM0225","2020JJ00",8.5,13.4
"GM0225","2021JJ00",8.8,14.2
"GM0225","2022JJ00",9.3,15.2
"GM0225","2023JJ00",12.2,17.3
"GM0225","2024JJ00",13.9,18.7
"GM0226","2011JJ00",6,10
"GM0226","2012JJ00",5.8,9.3
"GM0226","2013JJ00",4.9,8.7
"GM0226","2014JJ00",5,8.8
"GM0226","2015JJ00",5.2,9
"GM0226","2016JJ00",5.2,9.2
"GM0226","2017JJ00",5.7,9.6
"GM0226","2018JJ00",6.5,10.3
"GM0226","2019JJ00",6.6,10.9
"GM0226","2020JJ00",7.4,12.1
"GM0226","2021JJ00",8.1,12.9
"GM0226","2022JJ00",9.3,14.5
"GM0226","2023JJ00",11.3,16.5
"GM0226","2024JJ00",13.8,18.8
"GM1711","2011JJ00",6.3,11
"GM1711","2012JJ00",5.8,10.5
"GM1711","2013JJ00",5.7,9.8
"GM1711","2014JJ00",5.6,9.7
"GM1711","2015JJ00",5.9,10.3
"GM1711","2016JJ00",6.2,10.9
"GM1711","2017JJ00",6.6,11.7
"GM1711","2018JJ00",7.3,12.3
"GM1711","2019JJ00",7.3,12.1
"GM1711","2020JJ00",7.8,13
"GM1711","2021JJ00",8.1,13.7
"GM1711","2022JJ00",9.6,15
"GM1711","2023JJ00",10.8,16.2
"GM1711","2024JJ00",12.4,17.6
"GM0385","2011JJ00",11.5,16.3
"GM0385","2012JJ00",9.9,15.2
"GM0385","2013JJ00",9.4,14.4
"GM0385","2014JJ00",9.2,14.4
"GM0385","2015JJ00",9.3,14.4
"GM0385","2016JJ00",9.5,14.4
"GM0385","2017JJ00",9.5,15
"GM0385","2018JJ00",10,15.3
"GM0385","2019JJ00",11.3,16.8
"GM0385","2020JJ00",12.4,18.2
"GM0385","2021JJ00",13.5,19.2
"GM0385","2022JJ00",14.7,20.6
"GM0385","2023JJ00",16.9,22.5
"GM0385","2024JJ00",19.1,24.5
"GM0228","2011JJ00",9.2,13.3
"GM0228","2012JJ00",8.7,13
"GM0228","2013JJ00",8.4,12.7
"GM0228","2014JJ00",8.1,12.6
"GM0228","2015JJ00",8.1,12.8
"GM0228","2016JJ00",8.6,13.3
"GM0228","2017JJ00",9.1,13.9
"GM0228","2018JJ00",9.4,14.4
"GM0228","2019JJ00",9.8,15.4
"GM0228","2020JJ00",10.6,16.1
"GM0228","2021JJ00",11.2,16.9
"GM0228","2022JJ00",12.7,18.4
"GM0228","2023JJ00",14.7,20.1
"GM0228","2024JJ00",16.4,21.9
"GM0317","2011JJ00",6.5,10.6
"GM0317","2012JJ00",5.3,10.3
"GM0317","2013JJ00",5.8,10
"GM0317","2014JJ00",4.6,9.6
"GM0317","2015JJ00",5.5,10.4
"GM0317","2016JJ00",5.3,10
"GM0317","2017JJ00",6.3,10.9
"GM0317","2018JJ00",5.6,11.1
"GM0317","2019JJ00",6.4,11.4
"GM0317","2020JJ00",7.2,12.5
"GM0317","2021JJ00",7.4,12.5
"GM0317","2022JJ00",8.6,13.8
"GM0317","2023JJ00",10.9,16
"GM0317","2024JJ00",12.5,18.1
"GM1979","2011JJ00",7.2,11.3
"GM1979","2012JJ00",6.7,11
"GM1979","2013JJ00",6.7,10.7
"GM1979","2014JJ00",6.8,10.8
"GM1979","2015JJ00",6.8,11.2
"GM1979","2016JJ00",6.1,10.7
"GM1979","2017JJ00",6.3,11.4
"GM1979","2018JJ00",7.1,12.3
"GM1979","2019JJ00",8,13.2
"GM1979","2020JJ00",8.1,13.7
"GM1979","2021JJ00",9.3,15.1
"GM1979","2022JJ00",10.4,16.3
"GM1979","2023JJ00",11.6,17.2
"GM1979","2024JJ00",13.9,19.2
"GM0770","2011JJ00",7.3,11.3
"GM0770","2012JJ00",7.4,11.7
"GM0770","2013JJ00",7.6,11.6
"GM0770","2014JJ00",8,12.1
"GM0770","2015JJ00",8.6,12.8
"GM0770","2016JJ00",8.6,13
"GM0770","2017JJ00",9,13.6
"GM0770","2018JJ00",10,14.7
"GM0770","2019JJ00",10.1,15.6
"GM0770","2020JJ00",9.3,16.8
"GM0770","2021JJ00",10,15.9
"GM0770","2022JJ00",11.6,16.7
"GM0770","2023JJ00",12.6,17.7
"GM0770","2024JJ00",13.7,19.2
"GM1903","2011JJ00",5.5,9.7
"GM1903","2012JJ00",5.7,9.6
"GM1903","2013JJ00",5.7,9.3
"GM1903","2014JJ00",5.6,9.8
"GM1903","2015JJ00",6,10
"GM1903","2016JJ00",5.9,10.1
"GM1903","2017JJ00",5.9,10.4
"GM1903","2018JJ00",6.3,11.1
"GM1903","2019JJ00",6.4,11.7
"GM1903","2020JJ00",7,12.6
"GM1903","2021JJ00",7.4,12.4
"GM1903","2022JJ00",8,13.7
"GM1903","2023JJ00",9.6,15.4
"GM1903","2024JJ00",11.9,16.9
"GM0772","2011JJ00",6.7,10.4
"GM0772","2012JJ00",6.5,10.3
"GM0772","2013JJ00",6.4,10.4
"GM0772","2014JJ00",6.5,10.2
"GM0772","2015JJ00",6.5,10.5
"GM0772","2016JJ00",6.6,10.8
"GM0772","2017JJ00",6.9,11
"GM0772","2018JJ00",7.2,12.1
"GM0772","2019JJ00",7.4,12.8
"GM0772","2020JJ00",7.6,13.1
"GM0772","2021JJ00",8.2,13.7
"GM0772","2022JJ00",8.8,14.8
"GM0772","2023JJ00",10.3,16.3
"GM0772","2024JJ00",11.9,18.1
"GM0230","2011JJ00",11,14.1
"GM0230","2012JJ00",10.8,14.1
"GM0230","2013JJ00",9.9,13.5
"GM0230","2014JJ00",9.2,12.9
"GM0230","2015JJ00",9.2,12.9
"GM0230","2016JJ00",8.7,13.2
"GM0230","2017JJ00",8.9,13.7
"GM0230","2018JJ00",9.7,14.2
"GM0230","2019JJ00",10.7,15.4
"GM0230","2020JJ00",11.9,16.5
"GM0230","2021JJ00",13.3,17.6
"GM0230","2022JJ00",15.2,19.8
"GM0230","2023JJ00",17.9,21.4
"GM0230","2024JJ00",19.8,23.4
"GM0114","2011JJ00",8,11.5
"GM0114","2012JJ00",7.5,11.1
"GM0114","2013JJ00",7.1,10.9
"GM0114","2014JJ00",6.9,10.8
"GM0114","2015JJ00",6.8,10.8
"GM0114","2016JJ00",6.6,10.7
"GM0114","2017JJ00",7,11.2
"GM0114","2018JJ00",7.6,12.1
"GM0114","2019JJ00",8.7,13.3
"GM0114","2020JJ00",9.2,14
"GM0114","2021JJ00",10.5,14.9
"GM0114","2022JJ00",12.2,16.7
"GM0114","2023JJ00",14,18.4
"GM0114","2024JJ00",15.7,20
"GM0388","2011JJ00",8.5,12.3
"GM0388","2012JJ00",8.2,11.9
"GM0388","2013JJ00",7.8,11.2
"GM0388","2014JJ00",8.4,11.8
"GM0388","2015JJ00",9,12.3
"GM0388","2016JJ00",8.5,12.3
"GM0388","2017JJ00",8.8,12.9
"GM0388","2018JJ00",9.1,13.7
"GM0388","2019JJ00",9.1,13.7
"GM0388","2020JJ00",9.9,14.3
"GM0388","2021JJ00",10.1,14.6
"GM0388","2022JJ00",11.2,15.8
"GM0388","2023JJ00",11.4,16.8
"GM0388","2024JJ00",13.4,19.2
"GM0153","2011JJ00",6.4,10
"GM0153","2012JJ00",6.2,9.7
"GM0153","2013JJ00",6,9.2
"GM0153","2014JJ00",5.9,9.2
"GM0153","2015JJ00",6,9.4
"GM0153","2016JJ00",5.9,9.5
"GM0153","2017JJ00",6,9.5
"GM0153","2018JJ00",6.4,10
"GM0153","2019JJ00",6.7,10.7
"GM0153","2020JJ00",6.8,11.1
"GM0153","2021JJ00",7.6,12
"GM0153","2022JJ00",7.6,12.5
"GM0153","2023JJ00",9.2,14.2
"GM0153","2024JJ00",10.9,15.6
"GM0232","2011JJ00",8.4,12.1
"GM0232","2012JJ00",7.3,11.3
"GM0232","2013JJ00",7.5,11.4
"GM0232","2014JJ00",7.9,11.6
"GM0232","2015JJ00",7.3,11.7
"GM0232","2016JJ00",7.7,11.8
"GM0232","2017JJ00",7.7,12.1
"GM0232","2018JJ00",8.1,12.7
"GM0232","2019JJ00",9,13.3
"GM0232","2020JJ00",9.4,13.9
"GM0232","2021JJ00",10.2,14.9
"GM0232","2022JJ00",12,16.5
"GM0232","2023JJ00",14.1,18.7
"GM0232","2024JJ00",16.1,20.5
"GM0233","2011JJ00",9,12.8
"GM0233","2012JJ00",8.5,12.3
"GM0233","2013JJ00",8.3,11.8
"GM0233","2014JJ00",8.6,11.9
"GM0233","2015JJ00",8.1,11.9
"GM0233","2016JJ00",8.3,12
"GM0233","2017JJ00",8.2,12.7
"GM0233","2018JJ00",8.7,13.4
"GM0233","2019JJ00",9,13.8
"GM0233","2020JJ00",9.8,14.7
"GM0233","2021JJ00",10.7,15.7
"GM0233","2022JJ00",11.9,16.9
"GM0233","2023JJ00",13.5,18.5
"GM0233","2024JJ00",15.5,20.5
"GM0777","2011JJ00",7.7,11.7
"GM0777","2012JJ00",7.3,11.6
"GM0777","2013JJ00",7,11.4
"GM0777","2014JJ00",6.8,11.3
"GM0777","2015JJ00",6.4,11.1
"GM0777","2016JJ00",6.6,11.3
"GM0777","2017JJ00",6.9,11.7
"GM0777","2018JJ00",7.6,11.9
"GM0777","2019JJ00",7.2,12.3
"GM0777","2020JJ00",7.5,12.6
"GM0777","2021JJ00",8.5,13.5
"GM0777","2022JJ00",8.7,14.7
"GM0777","2023JJ00",10.4,15.7
"GM0777","2024JJ00",12.8,17.9
"GM1940","2011JJ00",7.6,11.6
"GM1940","2012JJ00",7.4,11.5
"GM1940","2013JJ00",7.2,11.4
"GM1940","2014JJ00",7,11.3
"GM1940","2015JJ00",7.1,11.5
"GM1940","2016JJ00",7.1,11.5
"GM1940","2017JJ00",7.4,11.8
"GM1940","2018JJ00",8,12.4
"GM1940","2019JJ00",8.6,13.3
"GM1940","2020JJ00",8.9,13.8
"GM1940","2021JJ00",9.7,14.7
"GM1940","2022JJ00",10.7,15.8
"GM1940","2023JJ00",12,17.4
"GM1940","2024JJ00",14.6,19.5
"GM0779","2011JJ00",8.9,13
"GM0779","2012JJ00",8.9,12.8
"GM0779","2013JJ00",7.8,12.2
"GM0779","2014JJ00",8.3,12.7
"GM0779","2015JJ00",8.6,12.9
"GM0779","2016JJ00",7.9,12.9
"GM0779","2017JJ00",8.5,13.3
"GM0779","2018JJ00",8.6,13.8
"GM0779","2019JJ00",8.9,14.2
"GM0779","2020JJ00",9.8,14.4
"GM0779","2021JJ00",10.4,15.2
"GM0779","2022JJ00",12,16.8
"GM0779","2023JJ00",12.8,18
"GM0779","2024JJ00",15,19.7
"GM1771","2011JJ00",7,11.2
"GM1771","2012JJ00",7.1,10.7
"GM1771","2013JJ00",6.5,10.7
"GM1771","2014JJ00",6.3,10.4
"GM1771","2015JJ00",6.5,10.7
"GM1771","2016JJ00",6.5,11.2
"GM1771","2017JJ00",6.8,11.4
"GM1771","2018JJ00",7.1,12.3
"GM1771","2019JJ00",8,12.6
"GM1771","2020JJ00",8.3,13.3
"GM1771","2021JJ00",9.1,14.1
"GM1771","2022JJ00",10.2,15.2
"GM1771","2023JJ00",11.7,16.8
"GM1771","2024JJ00",13.6,18.7
"GM1652","2011JJ00",8.9,12.8
"GM1652","2012JJ00",9,12.7
"GM1652","2013JJ00",8.3,12.5
"GM1652","2014JJ00",8,12.6
"GM1652","2015JJ00",8.6,13.2
"GM1652","2016JJ00",9.2,13.3
"GM1652","2017JJ00",10.1,14
"GM1652","2018JJ00",10.7,14.9
"GM1652","2019JJ00",11,15.7
"GM1652","2020JJ00",11.3,15.8
"GM1652","2021JJ00",11.5,17.2
"GM1652","2022JJ00",13.2,18.6
"GM1652","2023JJ00",14.5,19.3
"GM1652","2024JJ00",15.8,20.7
"GM0907","2011JJ00",7.6,11.5
"GM0907","2012JJ00",7.5,11.2
"GM0907","2013JJ00",7.7,11.4
"GM0907","2014JJ00",7.3,11.3
"GM0907","2015JJ00",7.9,11.4
"GM0907","2016JJ00",7.5,11.8
"GM0907","2017JJ00",7.6,11.6
"GM0907","2018JJ00",6.8,11.9
"GM0907","2019JJ00",7.2,12.7
"GM0907","2020JJ00",8.3,13
"GM0907","2021JJ00",9,14.1
"GM0907","2022JJ00",11.5,16
"GM0907","2023JJ00",12.2,17.1
"GM0907","2024JJ00",13.3,19
"GM0784","2011JJ00",8,11.6
"GM0784","2012JJ00",7.6,11.5
"GM0784","2013JJ00",7.1,11.4
"GM0784","2014JJ00",6.5,11
"GM0784","2015JJ00",7,11.5
"GM0784","2016JJ00",7.5,12
"GM0784","2017JJ00",7.6,12.2
"GM0784","2018JJ00",7.7,12.7
"GM0784","2019JJ00",8.5,13.3
"GM0784","2020JJ00",9.6,13.8
"GM0784","2021JJ00",10.1,14.7
"GM0784","2022JJ00",11.2,16.1
"GM0784","2023JJ00",12.9,17.9
"GM0784","2024JJ00",14,19.4
"GM1924","2011JJ00",12.6,16.5
"GM1924","2012JJ00",10.7,15.9
"GM1924","2013JJ00",9.6,15.3
"GM1924","2014JJ00",9.3,14.9
"GM1924","2015JJ00",9.4,14.9
"GM1924","2016JJ00",8.8,15
"GM1924","2017JJ00",9,15.3
"GM1924","2018JJ00",9.8,15.8
"GM1924","2019JJ00",10.9,16.6
"GM1924","2020JJ00",12.1,17.4
"GM1924","2021JJ00",12.7,18
"GM1924","2022JJ00",14.5,20.1
"GM1924","2023JJ00",16,21.6
"GM1924","2024JJ00",19,26.7
"GM0664","2011JJ00",7.7,12.1
"GM0664","2012JJ00",7.9,12.1
"GM0664","2013JJ00",7.9,12.1
"GM0664","2014JJ00",7.4,11.8
"GM0664","2015JJ00",7.4,11.9
"GM0664","2016JJ00",7.5,12.4
"GM0664","2017JJ00",7.6,12.5
"GM0664","2018JJ00",8.1,13.2
"GM0664","2019JJ00",8.3,13.4
"GM0664","2020JJ00",9,14.1
"GM0664","2021JJ00",9.8,15
"GM0664","2022JJ00",11.5,16.6
"GM0664","2023JJ00",13.2,18.5
"GM0664","2024JJ00",15.6,20.9
"GM0785","2011JJ00",6.1,11.2
"GM0785","2012JJ00",5.8,10.2
"GM0785","2013JJ00",5.6,9.7
"GM0785","2014JJ00",5.9,9.6
"GM0785","2015JJ00",5.4,9.6
"GM0785","2016JJ00",5.4,9.8
"GM0785","2017JJ00",5.9,10.5
"GM0785","2018JJ00",6.4,10.8
"GM0785","2019JJ00",6.9,11.5
"GM0785","2020JJ00",7.5,12.1
"GM0785","2021JJ00",7.6,12.5
"GM0785","2022JJ00",8.1,13.4
"GM0785","2023JJ00",9.3,14.1
"GM0785","2024JJ00",11.4,16.4
"GM1942","2011JJ00",4.8,9.3
"GM1942","2012JJ00",4.5,9.1
"GM1942","2013JJ00",4.6,8.8
"GM1942","2014JJ00",4.2,8.4
"GM1942","2015JJ00",4.2,8.6
"GM1942","2016JJ00",4.2,8.6
"GM1942","2017JJ00",3.8,8.3
"GM1942","2018JJ00",3.9,8.7
"GM1942","2019JJ00",4,9
"GM1942","2020JJ00",4.3,9.2
"GM1942","2021JJ00",4.4,9.8
"GM1942","2022JJ00",5,10.5
"GM1942","2023JJ00",5.6,11.3
"GM1942","2024JJ00",6.5,13.4
"GM0512","2011JJ00",8.2,12.1
"GM0512","2012JJ00",7.4,11.7
"GM0512","2013JJ00",7.5,11.5
"GM0512","2014JJ00",6.7,11
"GM0512","2015JJ00",7.2,11.5
"GM0512","2016JJ00",7,11.6
"GM0512","2017JJ00",7.2,11.6
"GM0512","2018JJ00",7.8,12.5
"GM0512","2019JJ00",8.7,13.8
"GM0512","2020JJ00",9.7,14.9
"GM0512","2021JJ00",10.4,15.2
"GM0512","2022JJ00",10.8,16.4
"GM0512","2023JJ00",12,17.6
"GM0512","2024JJ00",13.7,19.5
"GM0513","2011JJ00",7,11.3
"GM0513","2012JJ00",6.8,10.9
"GM0513","2013JJ00",6.8,10.9
"GM0513","2014JJ00",6.7,10.8
"GM0513","2015JJ00",7,11.2
"GM0513","2016JJ00",7.2,11.4
"GM0513","2017JJ00",7.4,11.9
"GM0513","2018JJ00",7.6,12.4
"GM0513","2019JJ00",8,13.1
"GM0513","2020JJ00",8.3,13.4
"GM0513","2021JJ00",8.6,13.9
"GM0513","2022JJ00",9.3,14.8
"GM0513","2023JJ00",10.6,16.2
"GM0513","2024JJ00",12.6,17.9
"GM0518","2011JJ00",6.9,10.6
"GM0518","2012JJ00",6.6,10.2
"GM0518","2013JJ00",6.4,9.9
"GM0518","2014JJ00",6.3,9.8
"GM0518","2015JJ00",6.6,10
"GM0518","2016JJ00",6.7,10.2
"GM0518","2017JJ00",7,10.7
"GM0518","2018JJ00",7.5,11.3
"GM0518","2019JJ00",7.5,12
"GM0518","2020JJ00",7.7,12.5
"GM0518","2021JJ00",8.2,13.1
"GM0518","2022JJ00",9.1,14.3
"GM0518","2023JJ00",10.2,15.6
"GM0518","2024JJ00",11.5,17
"GM0014","2011JJ00",6,8.6
"GM0014","2012JJ00",6,8.5
"GM0014","2013JJ00",5.8,8.4
"GM0014","2014JJ00",5.8,8.3
"GM0014","2015JJ00",6,8.5
"GM0014","2016JJ00",6,8.7
"GM0014","2017JJ00",6.1,9
"GM0014","2018JJ00",6.3,9.4
"GM0014","2019JJ00",6.5,9.7
"GM0014","2020JJ00",6.8,10.4
"GM0014","2021JJ00",7.3,11
"GM0014","2022JJ00",7.5,11.5
"GM0014","2023JJ00",8.9,13
"GM0014","2024JJ00",11.2,14.7
"GM1729","2011JJ00",5.5,9.4
"GM1729","2012JJ00",5.6,9.6
"GM1729","2013JJ00",6,9.7
"GM1729","2014JJ00",6.2,10.3
"GM1729","2015JJ00",6.5,10.5
"GM1729","2016JJ00",6.2,10.5
"GM1729","2017JJ00",6.8,10.8
"GM1729","2018JJ00",6.7,11.9
"GM1729","2019JJ00",6.9,12.4
"GM1729","2020JJ00",7,13.3
"GM1729","2021JJ00",8.6,13.6
"GM1729","2022JJ00",9.4,14.6
"GM1729","2023JJ00",10.5,16.6
"GM1729","2024JJ00",12.5,17.3
"GM0158","2011JJ00",6.9,11.1
"GM0158","2012JJ00",6.9,10.9
"GM0158","2013JJ00",6.2,10.2
"GM0158","2014JJ00",5.9,10.1
"GM0158","2015JJ00",5.9,10
"GM0158","2016JJ00",6,10.2
"GM0158","2017JJ00",6.3,10.4
"GM0158","2018JJ00",7,11.5
"GM0158","2019JJ00",7.5,12.2
"GM0158","2020JJ00",8.3,13
"GM0158","2021JJ00",8.3,13.5
"GM0158","2022JJ00",9.9,15.2
"GM0158","2023JJ00",11.8,17
"GM0158","2024JJ00",14,19
"GM0392","2011JJ00",7.7,11.4
"GM0392","2012JJ00",7.5,11.2
"GM0392","2013JJ00",7.3,11.1
"GM0392","2014JJ00",7.1,10.9
"GM0392","2015JJ00",7.5,11.2
"GM0392","2016JJ00",7.4,11.3
"GM0392","2017JJ00",7.3,11.3
"GM0392","2018JJ00",7.3,11.7
"GM0392","2019JJ00",7.4,12.1
"GM0392","2020JJ00",7.2,12.2
"GM0392","2021JJ00",7.4,12.5
"GM0392","2022JJ00",8.6,13.8
"GM0392","2023JJ00",9.3,14.7
"GM0392","2024JJ00",10.9,16.6
"GM0394","2011JJ00",7.3,11.3
"GM0394","2012JJ00",6.9,11
"GM0394","2013JJ00",6.5,10.7
"GM0394","2014JJ00",6.4,10.6
"GM0394","2015JJ00",6.4,10.7
"GM0394","2016JJ00",6.4,10.7
"GM0394","2017JJ00",6.5,11.1
"GM0394","2018JJ00",6.8,11.5
"GM0394","2019JJ00",7.1,12.2
"GM0394","2020JJ00",7,12.3
"GM0394","2021JJ00",7.7,12.9
"GM0394","2022JJ00",9.2,14.4
"GM0394","2023JJ00",10.8,16
"GM0394","2024JJ00",12.6,17.8
"GM1655","2011JJ00",8.4,12.8
"GM1655","2012JJ00",7.4,12.3
"GM1655","2013JJ00",6.8,11.8
"GM1655","2014JJ00",6.8,11.6
"GM1655","2015JJ00",7.1,11.8
"GM1655","2016JJ00",6.8,11.9
"GM1655","2017JJ00",7,12.1
"GM1655","2018JJ00",7.4,12.6
"GM1655","2019JJ00",8.6,13.6
"GM1655","2020JJ00",9.7,14.6
"GM1655","2021JJ00",11,16.2
"GM1655","2022JJ00",12.7,18
"GM1655","2023JJ00",13.9,19.3
"GM1655","2024JJ00",15.7,20.7
"GM0160","2011JJ00",8.9,12.6
"GM0160","2012JJ00",8.7,12.4
"GM0160","2013JJ00",8.3,12.1
"GM0160","2014JJ00",8.2,12
"GM0160","2015JJ00",8.5,12.1
"GM0160","2016JJ00",8,12.2
"GM0160","2017JJ00",8.4,12.7
"GM0160","2018JJ00",8.9,13.2
"GM0160","2019JJ00",9.5,13.9
"GM0160","2020JJ00",10.4,14.5
"GM0160","2021JJ00",11.3,15.6
"GM0160","2022JJ00",12.7,17.1
"GM0160","2023JJ00",14.9,19
"GM0160","2024JJ00",17.3,21.2
"GM0243","2011JJ00",8.6,12.4
"GM0243","2012JJ00",8.1,11.8
"GM0243","2013JJ00",7.3,11.5
"GM0243","2014JJ00",6.8,11.1
"GM0243","2015JJ00",7.3,11.2
"GM0243","2016JJ00",7,11
"GM0243","2017JJ00",7.2,11.3
"GM0243","2018JJ00",7.4,12
"GM0243","2019JJ00",8.4,12.9
"GM0243","2020JJ00",8.8,13.5
"GM0243","2021JJ00",9.5,14.2
"GM0243","2022JJ00",10.2,15.3
"GM0243","2023JJ00",12.3,17.3
"GM0243","2024JJ00",14.6,19
"GM0523","2011JJ00",15.2,17.2
"GM0523","2012JJ00",13.8,16.6
"GM0523","2013JJ00",12.6,16.3
"GM0523","2014JJ00",12.1,15.7
"GM0523","2015JJ00",12,15.5
"GM0523","2016JJ00",12.8,15.9
"GM0523","2017JJ00",13,16.2
"GM0523","2018JJ00",12.1,16.7
"GM0523","2019JJ00",13.4,17.2
"GM0523","2020JJ00",14.2,18
"GM0523","2021JJ00",14.7,18.7
"GM0523","2022JJ00",17.1,20.3
"GM0523","2023JJ00",18.8,22.3
"GM0523","2024JJ00",21.9,25
"GM0072","2011JJ00",6.2,10.4
"GM0072","2012JJ00",6.7,10.9
"GM0072","2013JJ00",6.2,10.7
"GM0072","2014JJ00",6.4,10
"GM0072","2015JJ00",5.7,9.9
"GM0072","2016JJ00",5.4,9.6
"GM0072","2017JJ00",6.3,10.6
"GM0072","2018JJ00",6.7,11.2
"GM0072","2019JJ00",7.4,12
"GM0072","2020JJ00",7.8,13.2
"GM0072","2021JJ00",8.4,13.6
"GM0072","2022JJ00",9.2,14.6
"GM0072","2023JJ00",11.2,16.4
"GM0072","2024JJ00",12,17.5
"GM0244","2011JJ00",7,10.9
"GM0244","2012JJ00",6.8,10.6
"GM0244","2013JJ00",6.8,10.8
"GM0244","2014JJ00",6.1,10.7
"GM0244","2015JJ00",6,11
"GM0244","2016JJ00",6.5,11
"GM0244","2017JJ00",6.7,11.7
"GM0244","2018JJ00",6.5,11.9
"GM0244","2019JJ00",6.9,12.2
"GM0244","2020JJ00",7.1,12.5
